"Jul.Day","YYYY/MM/DD","Wdy","CAD/USD","EUR/USD","GBP/USD","JPY/USD","AUD/USD","CNY/USD"
2457757,"2017/01/03","Tue",1.3438,0.96013,0.81596,117.67,1.3831,6.9627
2457758,"2017/01/04","Wed",1.3293,0.95461,0.81328,117.43,1.3755,6.9343
2457759,"2017/01/05","Thu",1.3216,0.94353,0.80566,115.42,1.3637,6.8905
2457760,"2017/01/06","Fri",1.3216,0.94704,0.81214,116.85,1.3692,6.9194
2457763,"2017/01/09","Mon",1.3222,0.94558,0.82201,116.08,1.3582,6.9370
2457764,"2017/01/10","Tue",1.3208,0.94593,0.82211,115.76,1.3569,6.9224
2457765,"2017/01/11","Wed",1.3232,0.95242,0.82540,116.27,1.3517,6.9386
2457766,"2017/01/12","Thu",1.3130,0.93766,0.81894,113.88,1.3321,6.8924
2457767,"2017/01/13","Fri",1.3135,0.94124,0.81976,115.02,1.3369,6.9023
2457770,"2017/01/16","Mon",1.3163,0.94338,0.83037,114.06,1.3381,6.9025
2457771,"2017/01/17","Tue",1.3060,0.93499,0.80747,112.98,1.3267,6.8556
2457772,"2017/01/18","Wed",1.3177,0.93613,0.81244,113.40,1.3241,6.8381
2457773,"2017/01/19","Thu",1.3329,0.94072,0.81180,115.30,1.3256,6.8706
2457774,"2017/01/20","Fri",1.3339,0.93640,0.81118,115.09,1.3258,6.8758
2457777,"2017/01/23","Mon",1.3289,0.93112,0.80093,112.91,1.3220,6.8535
2457778,"2017/01/24","Tue",1.3152,0.93039,0.79801,113.67,1.3186,6.8607
2457779,"2017/01/25","Wed",1.3075,0.93087,0.79247,113.60,1.3220,6.8852
2457780,"2017/01/26","Thu",1.3104,0.93727,0.79505,114.75,1.3281,6.8823
2457781,"2017/01/27","Fri",1.3108,0.93548,0.79810,115.18,1.3250,6.8808
2457784,"2017/01/30","Mon",1.3093,0.93635,0.80168,113.85,1.3237,6.8802
2457785,"2017/01/31","Tue",1.3030,0.92654,0.79471,112.72,1.3190,6.8833
2457786,"2017/02/01","Wed",1.3089,0.92968,0.79097,113.32,1.3221,6.8817
2457787,"2017/02/02","Thu",1.3019,0.92570,0.79739,112.43,1.3035,6.8811
2457788,"2017/02/03","Fri",1.3004,0.92667,0.79936,112.39,1.3012,6.8695
2457791,"2017/02/06","Mon",1.3117,0.93194,0.80329,112.30,1.3090,6.8639
2457792,"2017/02/07","Tue",1.3167,0.93542,0.80096,112.16,1.3098,6.8829
2457793,"2017/02/08","Wed",1.3157,0.93398,0.79739,111.78,1.3077,6.8705
2457794,"2017/02/09","Thu",1.3141,0.93831,0.79909,113.28,1.3119,6.8693
2457795,"2017/02/10","Fri",1.3074,0.93909,0.79993,113.19,1.3013,6.8774
2457798,"2017/02/13","Mon",1.3071,0.94321,0.79940,113.76,1.3084,6.8831
2457799,"2017/02/14","Tue",1.3093,0.94548,0.80227,114.35,1.3090,6.8658
2457800,"2017/02/15","Wed",1.3084,0.94374,0.80231,114.17,1.2993,6.8719
2457801,"2017/02/16","Thu",1.3058,0.93808,0.80155,113.35,1.2998,6.8546
2457802,"2017/02/17","Fri",1.3116,0.94211,0.80471,112.87,1.3061,6.8670
2457806,"2017/02/21","Tue",1.3149,0.94781,0.80226,113.45,1.3036,6.8843
2457807,"2017/02/22","Wed",1.3187,0.94741,0.80286,113.49,1.3016,6.8790
2457808,"2017/02/23","Thu",1.3109,0.94472,0.79700,112.72,1.2963,6.8669
2457809,"2017/02/24","Fri",1.3104,0.94511,0.80010,112.29,1.3021,6.8679
2457812,"2017/02/27","Mon",1.3101,0.94116,0.80173,111.97,1.3000,6.8700
2457813,"2017/02/28","Tue",1.3248,0.94185,0.80476,112.08,1.3011,6.8678
2457814,"2017/03/01","Wed",1.3346,0.94666,0.81180,113.68,1.3050,6.8829
2457815,"2017/03/02","Thu",1.3384,0.95104,0.81525,114.49,1.3197,6.8883
2457816,"2017/03/03","Fri",1.3419,0.94767,0.81649,114.59,1.3232,6.8957
2457819,"2017/03/06","Mon",1.3410,0.94477,0.81694,113.93,1.3190,6.8981
2457820,"2017/03/07","Tue",1.3413,0.94504,0.81911,113.96,1.3154,6.9032
2457821,"2017/03/08","Wed",1.3481,0.94816,0.82296,114.54,1.3256,6.9133
2457822,"2017/03/09","Thu",1.3505,0.94467,0.82212,114.74,1.3307,6.9115
2457823,"2017/03/10","Fri",1.3469,0.93750,0.82258,115.02,1.3280,6.9107
2457826,"2017/03/13","Mon",1.3453,0.93723,0.81741,114.59,1.3190,6.9132
2457827,"2017/03/14","Tue",1.3463,0.93937,0.82192,114.58,1.3202,6.9147
2457828,"2017/03/15","Wed",1.3451,0.94056,0.81829,114.67,1.3170,6.9157
2457829,"2017/03/16","Thu",1.3316,0.93138,0.80855,113.04,1.3032,6.8995
2457830,"2017/03/17","Fri",1.3369,0.93099,0.80838,112.63,1.3005,6.9019
2457833,"2017/03/20","Mon",1.3357,0.92996,0.80868,112.62,1.2930,6.9100
2457834,"2017/03/21","Tue",1.3320,0.92513,0.80130,111.93,1.2960,6.8873
2457835,"2017/03/22","Wed",1.3347,0.92591,0.80157,111.04,1.3029,6.8834
2457836,"2017/03/23","Thu",1.3333,0.92706,0.79838,111.11,1.3084,6.8869
2457837,"2017/03/24","Fri",1.3373,0.92553,0.80068,111.07,1.3126,6.8827
2457840,"2017/03/27","Mon",1.3368,0.91902,0.79482,110.48,1.3120,6.8730
2457841,"2017/03/28","Tue",1.3363,0.92159,0.79980,110.53,1.3074,6.8810
2457842,"2017/03/29","Wed",1.3372,0.92971,0.80583,111.06,1.3057,6.8892
2457843,"2017/03/30","Thu",1.3279,0.93225,0.80071,111.40,1.3047,6.8910
2457844,"2017/03/31","Fri",1.3322,0.93481,0.79772,111.39,1.3094,6.8883
2457847,"2017/04/03","Mon",1.3389,0.93859,0.80145,111.02,1.3157,6.8873
2457848,"2017/04/04","Tue",1.3415,0.93778,0.80411,110.78,1.3217,6.8866
2457849,"2017/04/05","Wed",1.3411,0.93803,0.80080,111.20,1.3204,6.8951
2457850,"2017/04/06","Thu",1.3409,0.93901,0.80097,111.00,1.3247,6.8976
2457851,"2017/04/07","Fri",1.3397,0.94206,0.80661,110.81,1.3305,6.9021
2457854,"2017/04/10","Mon",1.3347,0.94298,0.80530,110.95,1.3334,6.9048
2457855,"2017/04/11","Tue",1.3335,0.94214,0.80109,109.75,1.3340,6.8915
2457856,"2017/04/12","Wed",1.3302,0.94247,0.80007,109.57,1.3359,6.8922
2457857,"2017/04/13","Thu",1.3265,0.94071,0.79866,109.27,1.3183,6.8909
2457861,"2017/04/17","Mon",1.3277,0.93811,0.79451,108.47,1.3151,6.8828
2457862,"2017/04/18","Tue",1.3381,0.93404,0.78325,108.44,1.3242,6.8832
2457863,"2017/04/19","Wed",1.3469,0.93398,0.78195,109.06,1.3333,6.8895
2457864,"2017/04/20","Thu",1.3480,0.92965,0.77942,109.33,1.3264,6.8811
2457865,"2017/04/21","Fri",1.3503,0.93518,0.78233,109.07,1.3266,6.8858
2457868,"2017/04/24","Mon",1.3516,0.92184,0.78227,109.71,1.3232,6.8854
2457869,"2017/04/25","Tue",1.3615,0.91400,0.77907,110.87,1.3269,6.8832
2457870,"2017/04/26","Wed",1.3592,0.91975,0.77896,111.50,1.3400,6.8925
2457871,"2017/04/27","Thu",1.3667,0.92052,0.77587,111.11,1.3421,6.8991
2457872,"2017/04/28","Fri",1.3665,0.91791,0.77299,111.46,1.3377,6.8945
2457875,"2017/05/01","Mon",1.3660,0.91666,0.77420,111.69,1.3276,6.8920
2457876,"2017/05/02","Tue",1.3720,0.91644,0.77392,112.09,1.3293,6.8945
2457877,"2017/05/03","Wed",1.3714,0.91653,0.77476,112.41,1.3419,6.8984
2457878,"2017/05/04","Thu",1.3743,0.91273,0.77456,112.65,1.3517,6.8956
2457879,"2017/05/05","Fri",1.3712,0.91031,0.77177,112.58,1.3500,6.9043
2457882,"2017/05/08","Mon",1.3705,0.91458,0.77263,112.89,1.3536,6.9043
2457883,"2017/05/09","Tue",1.3728,0.91894,0.77337,114.11,1.3612,6.9089
2457884,"2017/05/10","Wed",1.3672,0.92005,0.77278,114.03,1.3557,6.9016
2457885,"2017/05/11","Thu",1.3707,0.92043,0.77656,113.85,1.3567,6.9053
2457886,"2017/05/12","Fri",1.3714,0.91592,0.77651,113.43,1.3523,6.8984
2457889,"2017/05/15","Mon",1.3641,0.91104,0.77479,113.58,1.3469,6.8929
2457890,"2017/05/16","Tue",1.3596,0.90261,0.77466,113.21,1.3461,6.8875
2457891,"2017/05/17","Wed",1.3614,0.89796,0.77186,111.41,1.3478,6.8827
2457892,"2017/05/18","Thu",1.3611,0.89972,0.76994,111.11,1.3462,6.8882
